Planet Transit Midpoint Value,Planet Transit Midpoint Upper Unc,Planet Transit Midpoint Lower Unc,Planet Transit Midpoint Limit Flag,Planet Orbital Period Value,Planet Orbital Period Upper Unc,Planet Orbital Period Lower Unc,Planet Orbital Period Limit Flag,Planet Transit Duration Value,Planet Transit Duration Upper Unc,Planet Transit Duration Lower Unc,Planet Transit Duration Limit Flag,Planet Transit Depth Value,Planet Transit Depth Upper Unc,Planet Transit Depth Lower Unc,Planet Transit Depth Limit Flag,Planet Radius Value,Planet Radius Value Upper Unc,Planet Radius Value Lower Unc,Planet Radius Limit Flag,Planet Insolation Value,Planet Equilibrium Temperature Value,TESS Magnitude,TESS Magnitude Upper Unc,TESS Magnitude Lower Unc,TESS Magnitude Limit Flag,Stellar Distance,Stellar Distance Upper Unc,Stellar Distance Lower Unc,Stellar Distance Limit Flag,Stellar Effective Temperature Value,Stellar Effective Termperature Upper Unc,Stellar Effective Termperature Lower Unc,Stellar Effective Temperature Limit Flag,Stellar log(g) Value,Stellar log(g) Upper Unc,Stellar log(g) Lower Unc,Stellar log(g) Limit Flag,Stellar Radius Value,Stellar Radius Upper Unc,Stellar Radius Lower Unc,Stellar Radius Limit Flag,Label
2458544.79061,0.0009199999999999999,-0.0009199999999999999,0,0.62627,2e-05,-2e-05,0,0.666,0.169,-0.169,0,1880.0,68.5212,-68.5212,0,5.72162,0.8944620000000001,-0.8944620000000001,0,3235.57,2101.0,10.2355,0.006,-0.006,0,134.926,1.0555,-1.0555,0,5622.0,131.2,-131.2,0,4.5,0.07,-0.07,0,0.93,0.05,-0.05,0,0
2458518.376,0.00075,-0.00075,0,0.30412,1e-05,-1e-05,0,0.748,0.1,-0.1,0,1330.0,3.8310699999999995,-3.8310699999999995,0,10.417,0.668057,-0.668057,0,280833.0,6413.0,8.802,0.006,-0.006,0,440.426,9.484,-9.484,0,11892.0,235.8,-235.8,0,4.14,0.07,-0.07,0,2.52,0.09,-0.09,0,0
2459363.821393,0.000699,-0.000699,0,2.1805771000000003,0.0001176,-0.0001176,0,2.9057811,0.053719399999999994,-0.053719399999999994,0,16604.0927085,468.6292,-468.6292,0,16.6900682,0.9008778000000001,-0.9008778000000001,0,1770.4115414,1879.1758455,11.0657,0.006,-0.006,0,314.995,7.0655,-7.0655,0,6599.0,200.0,-200.0,0,4.21017,1.9641099999999998,-1.9641099999999998,0,1.2714601,0.0635578,-0.0635578,0,1
2458332.941229,0.0026420000000000003,-0.0026420000000000003,0,9.139804,0.0001109,-0.0001109,0,3.0912936,0.6627002,-0.6627002,0,358.41578010000006,33.721474,-33.721474,0,3.0629855,2.8175755000000002,-2.8175755000000002,0,243.011763,1006.9932828999999,9.0197,0.006,-0.006,0,129.804,0.5575,-0.5575,0,5958.2,76.0,-76.0,0,4.34,0.12,-0.12,0,1.58,0.165123,-0.165123,0,0
2458664.9708209997,0.001819,-0.001819,0,15.5077301,0.0001097,-0.0001097,0,5.04936,0.2346055,-0.2346055,0,636.1674517000001,29.705004,-29.705004,0,3.0547686,0.4154935,-0.4154935,0,104.83308559999999,816.1018114,8.4362,0.006,-0.006,0,88.4343,0.28175,-0.28175,0,6122.0,194.0,-194.0,0,4.30881,0.26855500000000004,-0.26855500000000004,0,1.1709200000000002,0.054673400000000004,-0.054673400000000004,0,1
2458661.0629970003,0.000839,-0.000839,0,17.471288100000002,6.840000000000001e-05,-6.840000000000001e-05,0,4.297932,0.1572389,-0.1572389,0,1219.5496150999998,39.652325,-39.652325,0,3.437103,0.4013165,-0.4013165,0,53.37011210000001,689.3571404,8.0888,0.006,-0.006,0,57.2651,0.18695,-0.18695,0,5783.54,7.8242899999999995,-7.8242899999999995,0,4.49925,0.019231,-0.019231,0,0.974669,0.0546984,-0.0546984,0,1
2458326.0597650004,0.0018,-0.0018,0,5.3079887999999995,3.1e-05,-3.1e-05,0,3.1395197999999995,0.3012694,-0.3012694,0,395.47160519999994,28.185852,-28.185852,0,2.899717,0.6823424,-0.6823424,0,603.2343377999999,1263.9830884,9.6663,0.006,-0.006,0,168.354,0.6765,-0.6765,0,6124.3,83.0,-83.0,0,4.38,0.16,-0.16,0,1.36963,0.0633668,-0.0633668,0,0
2458663.023591,0.0059689999999999995,-0.0059689999999999995,0,11.129640199999999,0.00024009999999999998,-0.00024009999999999998,0,7.1068241,0.3739165,-0.3739165,0,968.6119325,75.67997,-75.67997,0,12.978382400000001,0.8953745000000001,-0.8953745000000001,0,1255.7,1518.2,9.3781,0.006999999999999999,-0.006999999999999999,0,338.831,6.705,-6.705,0,5785.0,189.0,-189.0,0,4.344,2.00356,-2.00356,0,3.4475601000000005,0.17441700000000002,-0.17441700000000002,0,0
2459378.7143159998,0.00015800000000000002,-0.00015800000000000002,0,9.4496506,2.8e-06,-2.8e-06,0,2.021,0.027,-0.027,0,19750.0,16.7663,-16.7663,0,17.0216,1.10249,-1.10249,0,38.5799,694.0,9.7825,0.006,-0.006,0,98.8783,0.4197,-0.4197,0,5509.0,186.0,-186.0,0,4.3975800000000005,2.00408,-2.00408,0,0.94,0.06,-0.06,0,0
2458653.967554,0.000878,-0.000878,0,2.068559,1.25e-05,-1.25e-05,0,0.9982308000000001,0.3191344,-0.3191344,0,581.9546407,55.958042000000006,-55.958042000000006,0,2.8451407000000004,3.0135126,-3.0135126,0,1195.9870750999999,1499.8622384000003,9.6652,0.006,-0.006,0,128.491,3.3745,-3.3745,0,5687.9,76.0,-76.0,0,4.6,0.12,-0.12,0,1.13906,0.070392,-0.070392,0,0
2458325.426781,0.000875,-0.000875,0,4.1150133,1.13e-05,-1.13e-05,0,1.1960091999999998,0.2285306,-0.2285306,0,524.8418785,37.11627,-37.11627,0,2.0840072,1.7375827000000001,-1.7375827000000001,0,225.95716000000002,988.8405704,9.478,0.006,-0.006,0,82.1733,0.1632,-0.1632,0,5394.0,185.0,-185.0,0,4.5094199999999995,0.276077,-0.276077,0,0.887336,0.050653199999999995,-0.050653199999999995,0,0
2459374.315337,0.0021809999999999998,-0.0021809999999999998,0,10.0665634,4.09e-05,-4.09e-05,0,1.981,0.258,-0.258,0,640.0,0.734176,-0.734176,0,2.0996599999999996,0.141438,-0.141438,0,23.8187,615.0,9.0689,0.006,-0.006,0,61.1201,0.1009,-0.1009,0,5552.0,187.0,-187.0,0,4.6178300000000005,0.263463,-0.263463,0,0.79,0.05,-0.05,0,0
2458656.66825,0.001449,-0.001449,0,6.4438568,3.5799999999999996e-05,-3.5799999999999996e-05,0,1.9034071,0.3156658,-0.3156658,0,1067.3219754000002,87.74375,-87.74375,0,2.4800254,1.2834306,-1.2834306,0,60.8314178,712.2816141,10.0059,0.006,-0.006,0,68.0726,0.362,-0.362,0,4803.0,178.0,-178.0,0,4.52079,2.0034799999999997,-2.0034799999999997,0,0.737189,0.0567035,-0.0567035,0,0
2458664.4912650003,0.0019030000000000002,-0.0019030000000000002,0,12.2264881,8.840000000000001e-05,-8.840000000000001e-05,0,2.1689136,0.41136009999999995,-0.41136009999999995,0,1245.05985,109.74101,-109.74101,0,2.5664499,2.1035123,-2.1035123,0,25.897239499999998,575.3513252,10.0059,0.006,-0.006,0,68.0726,0.362,-0.362,0,4803.0,178.0,-178.0,0,4.52079,2.0034799999999997,-2.0034799999999997,0,0.737189,0.0567035,-0.0567035,0,0
2458655.579589,0.000152,-0.000152,0,2.9776369,2e-06,-2e-06,0,3.1240443,0.017571400000000004,-0.017571400000000004,0,12242.3706105,63.92253,-63.92253,0,14.0369087,0.7440518,-0.7440518,0,865.4929900000001,1383.3613518,10.4293,0.006,-0.006,0,197.996,3.038,-3.038,0,5703.0,188.0,-188.0,0,4.25824,0.298282,-0.298282,0,1.2202600000000001,0.0644121,-0.0644121,0,1
